"PEGI","PlatformMap_PEGI","USK","PlatformMap_USK","ESRB","PlatformMap_ESRB","OGDB","PlatformMap_OGDB","MOBYGAMES","PlatformMap_MOBYGAMES","MEDIAARTS","PlatformMap_MEDIAARTS","GAMEFAQS","PlatformMap_GAMEFAQS"
"Plug and Play ","Other","Nintendo Gameboy Advance ","Nintendo Game Boy Advance ","Linux ","PC","Atari 800 - Cartridge","Atari 800","CDTV","Other","プレイステーション Vita","Sony PlayStation Vita","wsc","Bandai WonderSwan"
"Sony PSP ","Sony PlayStation Portable","Nintendo GameCube ","Nintendo GameCube","Linux based PC ","PC","Atari 800 - Diskette","Atari 800","Camputers Lynx","Other","プレイステーション2","Sony PlayStation 2","xbox","Microsoft Xbox"
"Sony PSP - PSP GO ","Sony PlayStation Portable","Nintendo Switch ","Nintendo Switch ","Linux PC ","PC","Atari Jaguar","Atari Jaguar","Casio Loopy","Other","プレイステーション3","Sony PlayStation 3","xbox360","Microsoft Xbox 360"
"Sony PSP Go ","Sony PlayStation Portable","Nintendo Wii ","Nintendo Wii ","Linux/SteamOS ","Steam OS ","Atari Lynx","Atari Lynx","Casio PV-1000","Other","プレイステーション4","Sony PlayStation 4","xboxone","Microsoft Xbox One"
"Tapwave Zodiac ","Tapwave Zodiac ","Nintendo Wii U ","Nintendo Wii U ","Macintosh ","MAC OS","Atari ST","Atari ST","Channel F","Other","プレイステーション・ポータブル","Sony PlayStation Portable","wii","Nintendo Wii"
"Vista ","PC","Nokia N-Gage ","Mobile","Mobile Phone ","Mobile","Atari VCS/2600 - Cartridge","Atari 2600","Coleco Adam","Other","メガドライブ","Sega Mega Drive","wii-u","Nintendo Wii U"
"Windows Phone ","Mobile","Panasonic 3DO ","Panasonic 3DO ","Neo Geo Pocket Color ","Neo Geo Pocket Color ","Bandai Playdia","Bandai Playdia","ColecoVision","ColecoVision","ワンダースワン","Bandai WonderSwan","gba","Nintendo Game Boy Advance"
"XBox ","Microsoft Xbox","PC ","PC ","New Nintendo 3DS ","Nintendo 3DS ","Bandai WonderSwan","Bandai WonderSwan","Colour Genie","Other",,,"ngpc","SNK Neo Geo Pocket"
"XBox 360 ","Microsoft Xbox 360","PC/Mac-PC ","PC","N-Gage ","Mobile","Bandai WonderSwan Color","Bandai WonderSwan","Commodore 128","Commodore 128",,,"neogeocd","SNK Neo Geo CD"
"XBOX 360 Live Arcade ","Microsoft Xbox 360","Philips CD-I ","Other","Nintendo ","?","CBS Colecovision","Arcade","Commodore 16, Plus/4","Commodore 16",,,"ds","Nintendo DS"
"Xbox One ","Microsoft Xbox One","Pocket-PC ","Other","Nintendo 3DS ","Nintendo 3DS ","Commodore Amiga","Commodore Amiga","Commodore 64","Commodore 64",,,"pc88","NEC PC Engine"
,,"Pokemon Mini ","Pokemon Mini ","Nintendo 64 ","Nintendo 64","Commodore Amiga AGA","Commodore Amiga","Commodore PET/CBM","Commodore PET/CBM",,,"turbocd","NEC PC Engine"
,,"SEGA 32 X ","Sega Mega Drive","Nintendo DS ","Nintendo DS ","Commodore Amiga PPC","Commodore Amiga","Compucolor II","Other",,,"famicomds","Nintendo Entertainment System"
,,"SEGA-Dreamcast ","Sega Dreamcast","Nintendo DSi ","Nintendo DS","Commodore C64 - CD-ROM","Commodore C64","DOS","PC",,,"pcfx","NEC PC Engine"
,,"SEGA-Megadrive ","Sega Mega Drive","Nintendo Game Boy ","Nintendo Game Boy ","Commodore C64 - Cartridge","Commodore C64","DVD Player","Other",,,,
,,"SEGA-Saturn ","Sega Saturn","Nintendo Switch ","Nintendo Switch ","Commodore C64 - Cassette","Commodore C64","Dedicated console","Other",,,,
,,"Sony-Playstation 1 ","Sony PlayStation","No Platform ","No Platform ","Commodore C64 - Diskette","Commodore C64","Dedicated handheld","Other",,,,
,,"Sony-Playstation 2 ","Sony PlayStation 2","NUON ","NUON ","Commodore C64 - Diskette + Cassette","Commodore C64","DoJa","Other",,,,
,,"Sony-Playstation 3 ","Sony PlayStation 3 ","Online ","Online","Epoch Super Cassettevision","Other","Dragon 32/64","Other",,,,
,,"Sony-Playstation 4 ","Sony PlayStation 4","Palm Pilot ","Mobile","Fujitsu FM-7/FM-77 - 3.5","Fujitsu FM","Dreamcast","Sega Dreamcast",,,,
,,"Sony-PS Mobile ","Mobile","PC DVD ","Other","Fujitsu FM-7/FM-77 - 5.25","Fujitsu FM","Electron","Other",,,,
,,"Sony-PS VITA ","PlayStation Vita","PC DVD-ROM ","Other","Fujitsu FM-77AV","Fujitsu FM","Enterprise","Other",,,,
,,"Sony-PSP ","PlayStation Portable","PDA ","Mobile","Fujitsu FM-Towns/Marty - CD","Fujitsu FM","Epoch Cassette Vision","PC",,,,
,,"Trailer ","Other","PlayStation 2 ","Sony PlayStation 2","Fujitsu FM-Towns/Marty - CD + Diskette","Fujitsu FM","Epoch Game Pocket Computer","PC",,,,
,,"TV-Game ","TV","PlayStation 3 ","Sony PlayStation 3 ","Fujitsu FM-Towns/Marty - Diskette","Fujitsu FM","Epoch Super Cassette Vision","PC",,,,
,,"V. Smile ","Other","PlayStation 4 ","Sony PlayStation 4","GamePark 32","Other","ExEn","Other",,,,
,,"Windows Mobile ","Mobile","PlayStation Certified Device ","Mobile","Google Android","Mobile","Exelvision","Other",,,,
,,"Windows Phone 7 ","Mobile","PlayStation/PS one ","Sony PlayStation","Internet / BBS / Browser","Online","Exidy Sorcerer","Other",,,,
,,"XD Theater ","Other","Plug-and-Play ","Other","LCD Handheld","Other","FM Towns","Other",,,,
,,,,"Pocket Arcade ","Other","MSX - Cartridge","MSX","FM-7","Other",,,,
,,,,"Pocket PC ","Mobile","MSX - Cassette","MSX","Fire OS","Mobile",,,,
,,,,"Pokemon Mini ","Pokemon Mini ","MSX-2 - Cartridge","MSX-2","GP2X","GP2X",,,,
,,,,"PS Vita ","Sony PlayStation Vita","MSX-2 - Diskette","MSX-2","GP2X Wiz","GP2X Wiz",,,,
,,,,"PSP ","Sony PlayStation Portable","Mattel Intellivision","Mattel Intellivision","GP32","GP32",,,,
