OGDB;PlatformMap_OGDB
SONY PlayStation 4 - Download;Sony PlayStation 4
SONY PlayStation Portable;Sony PlayStation Portable
SONY PlayStation Portable - Download;Sony PlayStation Portable
SONY PlayStation Vita;Sony PlayStation Vita
SONY PlayStation Vita - Download;Sony PlayStation Vita
Sharp X-1;Sharp X1
Sharp X680x0;Sharp X68000
Sinclair ZX Spectrum - Cassette;Sinclair ZX Spectrum
TIGER Game.com;TIGER Game.com
Texas Instruments TI99/4a - Cartridge;Texas Instruments
Time DPG-450;Time DPG-450
Time DPG-520;Time DPG-520
Vectrex;Vectrex
Video - DVD;DVD Game
